Date Time,Temperature,Humidity,Pressure,Light
"05/14/2022, 19:18:34",E,r,101.9
"05/14/2022, 19:18:38",23.0,88.0,101.9
"05/14/2022, 19:18:42",23.0,88.0,101.9
"05/14/2022, 19:18:46",E,r,101.9
"05/14/2022, 19:18:50",23.0,88.0,101.9
"05/14/2022, 19:18:54",23.0,88.0,101.9
"05/14/2022, 19:18:58",23.0,89.0,101.9
"05/14/2022, 19:19:02",23.0,89.0,101.9
"05/14/2022, 19:19:06",23.0,89.0,101.9
"05/14/2022, 19:19:10",E,r,101.9
"05/14/2022, 19:19:14",E,r,101.9
"05/14/2022, 19:19:18",23.0,88.0,101.9
"05/14/2022, 19:19:22",23.0,88.0,101.9
"05/14/2022, 19:19:26",23.0,87.0,101.9
"05/14/2022, 19:19:30",E,r,101.9
"05/14/2022, 19:19:34",23.0,87.0,101.9
"05/14/2022, 19:19:38",E,r,101.9
"05/14/2022, 19:19:42",23.0,87.0,101.9
"05/14/2022, 19:19:46",23.0,87.0,101.9
"05/14/2022, 19:19:50",E,r,101.9
"05/14/2022, 19:19:54",23.0,88.0,101.9
"05/14/2022, 19:19:58",23.0,88.0,101.9
"05/14/2022, 19:25:37",23.0,75.0,101.9
"05/14/2022, 19:25:51",23.0,78.0,163.0
"05/14/2022, 19:25:55",23.0,78.0,101.9
"05/14/2022, 19:25:59",E,r,101.9
"05/14/2022, 19:26:03",23.0,87.0,101.9
"05/14/2022, 19:26:07",23.0,87.0,101.9
"05/14/2022, 19:31:18",23.0,74.0,101.9
"05/14/2022, 19:31:22",23.0,74.0,101.9
"05/14/2022, 19:31:26",23.0,86.0,101.9
"05/14/2022, 19:31:30",23.0,86.0,101.9
"05/14/2022, 19:31:34",23.0,86.0,101.9
"05/14/2022, 19:31:38",23.0,86.0,101.9
"05/14/2022, 19:31:42",23.0,86.0,101.9
"05/14/2022, 19:31:46",23.0,86.0,101.9
"05/14/2022, 19:31:51",23.0,86.0,101.9
"05/14/2022, 19:33:16",E,r,101.9
"05/15/2022, 09:47:50",23.0,62.0,102.0
"05/15/2022, 09:51:10",23.0,74.0,102.0
"05/15/2022, 09:52:35",23.0,80.0,102.0
"05/15/2022, 09:52:39",23.0,60.0,102.0
"05/15/2022, 09:52:43",23.0,72.0,102.0
"05/15/2022, 09:52:47",E,r,102.0
"05/15/2022, 09:52:51",E,r,102.0
"05/15/2022, 09:52:56",23.0,72.0,102.0
"05/15/2022, 09:53:01",23.0,68.0,102.0
"05/15/2022, 09:53:05",23.0,68.0,102.0
"05/15/2022, 09:53:09",23.0,72.0,102.0
"05/15/2022, 09:53:13",23.0,72.0,102.0
"05/15/2022, 09:53:17",23.0,72.0,102.0
"05/15/2022, 09:53:21",23.0,72.0,102.0
"05/15/2022, 09:53:25",23.0,72.0,102.0
"05/15/2022, 09:53:29",23.0,72.0,102.0
"05/15/2022, 09:53:33",23.0,72.0,102.0
"05/15/2022, 09:53:37",23.0,72.0,102.0
"05/15/2022, 09:53:41",23.0,72.0,102.0
"05/15/2022, 09:53:45",E,r,102.0
"05/15/2022, 09:53:49",23.0,72.0,102.0
"05/15/2022, 09:53:53",23.0,72.0,102.0
"05/15/2022, 09:53:58",23.0,72.0,102.0
"05/15/2022, 09:54:02",23.0,68.0,102.0
"05/15/2022, 09:54:06",23.0,72.0,102.0
"05/15/2022, 09:54:10",23.0,72.0,102.0
"05/15/2022, 09:54:14",23.0,72.0,102.0
"05/15/2022, 09:54:19",E,r,102.0
"05/15/2022, 09:54:24",E,r,102.0
"05/15/2022, 09:54:29",23.0,68.0,102.0
"05/15/2022, 09:54:34",E,r,102.0
"05/15/2022, 09:54:39",E,r,102.0
"05/15/2022, 09:54:44",E,r,102.0
"05/15/2022, 09:54:49",E,r,102.0
"05/15/2022, 09:54:53",23.0,69.0,102.0
"05/15/2022, 09:54:58",E,r,102.0
"05/15/2022, 09:55:33",23.0,68.0,102.0
"05/15/2022, 09:55:37",23.0,61.0,102.0
"05/15/2022, 09:55:41",23.0,73.0,102.0
"05/15/2022, 09:55:45",23.0,73.0,102.0
"05/15/2022, 09:55:49",23.0,73.0,102.0
"05/15/2022, 09:55:53",23.0,73.0,102.0
"05/15/2022, 09:55:57",23.0,72.0,102.0
"05/15/2022, 09:56:01",23.0,72.0,102.0
"05/15/2022, 09:56:05",23.0,71.0,102.0
"05/15/2022, 09:56:09",23.0,71.0,102.0
"05/15/2022, 09:56:13",23.0,71.0,102.0
"05/15/2022, 09:56:17",23.0,70.0,102.0
"05/15/2022, 09:56:21",23.0,70.0,102.0
"05/15/2022, 09:56:47",23.0,71.0,102.0
"05/15/2022, 09:56:51",23.0,60.0,102.0
"05/15/2022, 09:56:55",23.0,72.0,102.0
"05/15/2022, 09:56:59",23.0,72.0,102.0
"05/15/2022, 09:57:03",23.0,72.0,102.0
"05/15/2022, 09:57:07",23.0,72.0,102.0
"05/15/2022, 09:57:11",23.0,72.0,102.0
"05/15/2022, 09:57:15",23.0,72.0,102.0
"05/15/2022, 09:57:19",23.0,72.0,102.0
"05/15/2022, 09:57:23",23.0,72.0,102.0
"05/15/2022, 09:57:27",23.0,73.0,102.0
"05/15/2022, 09:57:31",23.0,72.0,102.0
"05/15/2022, 09:57:35",23.0,72.0,102.0
"05/15/2022, 09:57:40",E,r,102.0
"05/15/2022, 09:57:50",E,r,102.0
"05/15/2022, 09:57:56",E,r,102.0
"05/15/2022, 09:58:02",23.0,64.0,102.0
"05/15/2022, 09:58:09",E,r,102.0
"05/15/2022, 09:58:16",E,r,102.0
"05/15/2022, 09:58:20",E,r,102.0
"05/15/2022, 09:58:24",E,r,102.0
"05/15/2022, 09:58:28",E,r,102.0
"05/15/2022, 09:58:32",23.0,71.0,102.0
"05/15/2022, 09:58:36",E,r,102.0
"05/15/2022, 09:58:40",23.0,71.0,102.0
"05/15/2022, 09:58:44",E,r,102.0
"05/15/2022, 09:58:48",E,r,102.0
"05/15/2022, 09:58:52",E,r,102.0
"05/15/2022, 09:58:56",23.0,71.0,102.0
"05/15/2022, 09:59:00",23.0,71.0,102.0
"05/15/2022, 10:14:48",23.0,60.0,102.0
"05/15/2022, 10:14:52",23.0,59.0,102.0
"05/15/2022, 10:15:27",23.0,71.0,102.0
"05/15/2022, 10:15:31",E,r,102.0
"05/15/2022, 10:15:35",E,r,102.0
"05/15/2022, 10:15:39",23.0,71.0,102.0
"05/15/2022, 10:15:43",23.0,77.0,102.0
"05/15/2022, 10:15:47",23.0,66.0,102.0
"05/15/2022, 10:15:51",23.0,71.0,102.0
"05/15/2022, 10:15:55",23.0,71.0,102.0
"05/15/2022, 10:15:59",23.0,71.0,102.0
"05/15/2022, 10:16:03",23.0,71.0,102.0
"05/15/2022, 10:16:07",23.0,73.0,102.0
"05/15/2022, 10:16:11",23.0,69.0,102.0
"05/15/2022, 10:16:15",23.0,71.0,102.0
"05/15/2022, 10:16:19",23.0,71.0,102.0
"05/15/2022, 10:16:23",23.0,71.0,102.0
"05/15/2022, 10:16:27",23.0,71.0,102.0
"05/15/2022, 10:16:31",23.0,71.0,102.0
"05/15/2022, 10:16:35",23.0,71.0,102.0
"05/15/2022, 10:16:39",23.0,71.0,102.0
"05/15/2022, 10:16:43",23.0,70.0,102.0
"05/15/2022, 10:16:47",23.0,70.0,102.0
"05/15/2022, 10:16:51",23.0,70.0,102.0
"05/15/2022, 10:16:55",E,r,102.0
"05/15/2022, 10:16:59",E,r,102.0
"05/15/2022, 10:17:03",23.0,70.0,102.0
"05/15/2022, 10:17:07",23.0,69.0,102.0
"05/15/2022, 10:17:11",23.0,69.0,102.0
"05/15/2022, 10:17:15",23.0,69.0,102.0
"05/15/2022, 10:17:19",E,r,102.0
"05/15/2022, 10:17:23",23.0,69.0,102.0
"05/15/2022, 10:17:27",23.0,69.0,102.0
"05/15/2022, 10:17:31",23.0,69.0,102.0
"05/15/2022, 10:17:35",23.0,68.0,102.0
"05/15/2022, 10:17:39",23.0,69.0,102.0
"05/15/2022, 10:17:44",23.0,66.0,102.0
"05/15/2022, 10:17:48",23.0,67.0,102.0
"05/15/2022, 10:17:53",E,r,102.0
"05/15/2022, 10:17:58",23.0,65.0,102.0
"05/15/2022, 10:18:05",E,r,102.0
"05/15/2022, 10:18:09",23.0,61.0,102.0
"05/15/2022, 10:18:13",23.0,70.0,102.0
"05/15/2022, 10:18:17",23.0,70.0,102.0
"05/15/2022, 10:18:21",23.0,70.0,102.0
"05/15/2022, 10:18:25",23.0,70.0,102.0
"05/15/2022, 10:18:29",E,r,102.0
"05/15/2022, 10:18:35",23.0,68.0,102.0
"05/15/2022, 10:18:42",23.0,64.0,102.0
"05/15/2022, 10:18:46",23.0,62.0,102.0
"05/15/2022, 10:18:50",23.0,71.0,102.0
"05/15/2022, 10:18:54",23.0,72.0,102.0
"05/15/2022, 10:18:58",23.0,72.0,102.0
"05/15/2022, 10:19:02",23.0,71.0,102.0
"05/15/2022, 10:19:06",23.0,72.0,102.0
"05/15/2022, 10:19:10",E,r,102.0
"05/15/2022, 10:19:14",24.0,95.0,102.0
"05/15/2022, 10:19:18",23.0,95.0,102.0
"05/15/2022, 10:19:22",23.0,95.0,102.0
"05/15/2022, 10:19:26",23.0,95.0,102.0
"05/15/2022, 10:19:30",23.0,95.0,102.0
"05/15/2022, 10:19:34",23.0,95.0,102.0
"05/15/2022, 10:19:38",E,r,102.0
"05/15/2022, 10:19:42",E,r,102.0
"05/15/2022, 10:19:46",E,r,102.0
"05/15/2022, 10:19:50",24.0,95.0,102.0
"05/15/2022, 10:19:54",E,r,102.0
"05/15/2022, 10:19:58",E,r,102.0
"05/15/2022, 10:20:02",23.0,93.0,102.0
"05/15/2022, 10:20:06",24.0,95.0,102.0
"05/15/2022, 10:20:10",23.0,95.0,102.0
"05/15/2022, 10:20:14",22.0,95.0,102.0
"05/15/2022, 10:20:18",24.0,95.0,102.0
"05/15/2022, 10:20:22",23.0,95.0,102.0
"05/15/2022, 10:20:26",24.0,95.0,102.0
"05/15/2022, 10:20:30",24.0,95.0,102.0
"05/15/2022, 10:20:34",23.0,95.0,102.0
"05/15/2022, 10:20:38",24.0,95.0,102.0
"05/15/2022, 10:20:42",24.0,82.0,102.0
"05/15/2022, 10:21:13",23.0,77.0,102.0
"05/15/2022, 10:21:17",23.0,95.0,102.0
"05/15/2022, 10:21:21",23.0,95.0,102.0
"05/15/2022, 10:21:25",23.0,95.0,102.0
"05/15/2022, 10:21:29",24.0,95.0,102.0
"05/15/2022, 10:21:33",24.0,95.0,102.0
"05/15/2022, 10:21:37",24.0,95.0,102.0
"05/15/2022, 10:21:41",E,r,102.0
"05/15/2022, 10:21:45",23.0,95.0,102.0
"05/15/2022, 10:21:49",E,r,102.0
"05/15/2022, 10:21:53",23.0,95.0,102.0
"05/15/2022, 10:21:57",23.0,95.0,102.0
"05/15/2022, 10:22:01",E,r,102.0
"05/15/2022, 10:22:05",E,r,102.0
"05/15/2022, 10:22:09",E,r,102.0
"05/15/2022, 10:22:13",E,r,102.0
"05/15/2022, 10:22:17",E,r,102.0
"05/15/2022, 10:22:21",23.0,95.0,102.0
"05/15/2022, 10:22:25",23.0,95.0,102.0
"05/15/2022, 10:22:30",23.0,95.0,102.0
"05/15/2022, 10:22:35",E,r,102.0
